"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bangladesh","BGD","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","22247400352.1555","23595183644.9778","24881836316.5365","24768401445.5375","27481232082.102","27922651633.8281","28639373607.041","28102137930.7335","30768877387.037","31144521660.157","32894797774.7572","31092332913.8512","26747574665.3333","27637113459.6333","30288053305.3783","29049812842.011","30694427675.2688","31514906931.2615","33744220309.161","35364494467.2138","35654179848.1192","38233383143.2131","39049408882.1956","40564934559.7679","42513394124.1586","43934197985.7663","45767740141.9425","47494283218.917","48641867093.2417","50021633602.4591","52833978980.2425","54675363511.9491","57651171621.042","60367442156.8879","62715811986.0899","65927663003.4102","68909517942.6078","72003483975.2442","75731123690.2467","79267885586.4466","83463768387.9977","87701464097.1389","91063169913.1174","95379170227.3896","100376593241.023","106937152108.668","114071897286.677","122123775495.452","129468042599.543","135999866916.614","143577491437.847","152858884819.567","162827513985.488","172619318579.981","183081877944.077","195078574089.067","208955445955.618","222726132228.405","239028376881.356","257868370602.064","266759738105.963","285269340366.29","305522975082.013",
"Bulgaria","BGR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","30408546077.8307","31898614054.9127","32643308122.8727","33763073451.8947","34909817206.7166","35846601464.148","37354883785.455","39616540393.6919","43952448746.3127","42506465016.4511","38630990310.8691","35368465963.2403","32796333900.6127","32310877694.5768","32898293113.229","33837556160.6535","35598933514.8627","30574008395.7341","31732494894.486","29068205695.4845","30401629793.5103","31564098025.8679","33417519854.7765","35167646925.346","37457210687.5425","40100321647.3792","42828181869.7527","45651150442.4779","48443183004.3113","46858192648.0599","47580652938.5069","48580420353.9823","48947168708.8722","48672822781.9378","49143425232.5845","50828088835.9428","52373173927.8421","53819810528.7043","55264743589.7436","57496412525.5276","55220351145.9042","59436209439.528","61434010664.8514",
"Bahrain","BHR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","7719989594.2972","7309541111.89847","6757216271.72362","7188081842.37558","7547748015.19352","7188605896.05476","7273646666.44917","8030033862.1097","8592135561.90565","8623411548.67152","9006118309.71319","10017505286.0204","10687676226.0298","12063180869.1514","12033022737.8954","12505919514.1411","13019913570.9245","13422619469.9058","14065563316.8115","14670382393.2056","15447922937.5299","15832722681.7137","16362889422.8255","17393169261.3715","18607379553.6075","19866912679.454","21151705946.6711","22906020071.8799","24336503493.4839","24954622922.9927","26036230937.9271","26552663487.0358","27542575573.0076","29034512771.3789","30297627559.0615","31050638297.8723","32155459790.271","33535234420.6161","34243206973.6781","34985245170.2699","33360307403.029","34250930436.9458","35915819622.2345",
"Bahamas, The","BHS","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","2167263524.16927","2398447635.75187","2649132708.54595","2927928897.16231","3235407317.87463","3572717829.65789","3896832244.18454","4270854640.15416","4630535920.18479","5046435032.0398","4761329139.50291","4838772574.10447","4669544442.17455","5022915431.5693","4181364673.91331","3562391979.69162","3747108593.21327","4090153732.75073","4670117904.98266","5890853836.91258","6273481401.17545","5694664594.48728","6076144353.27885","6294706417.23727","7186738619.03538","7533799171.33339","7669181559.57784","7898069766.75122","8080492089.22186","8624093441.50959","8486431428.68096","8131547130.75483","7820468129.87262","7844540022.79667","8091557968.88994","8445867232.60468","8802581004.85453","9407823536.99009","8984133113.94603","10079974393.3008","10498216122.6328","10773811050.5851","11065207190.3022","10925284735.7783","11021726614.4805","11395942898.6198","11682762135.6187","11851780614.5645","11576403634.3607","11092995528.2333","11263648615.2927","11332738051.5607","11682565982.6451","11348059778.2788","11557692820.1537","11672900000","11665077657.6218","11946825776.2937","12129998960.3154","12039754436.8498","9209427736.91217","10773618212.6295","12321675107.1918",
"Bosnia and Herzegovina","BIH","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2436038303.57664","2942734210.83938","5560521886.77902","7472761678.69317","8638512252.87887","9467809404.65839","10676419722.5411","10935142807.9552","11484901011.6181","11929038074.2211","12683581483.771","13177883229.6903","13891334298.3009","14704967298.7657","15505480872.1892","15039625532.629","15169818947.7198","15315375066.7093","15189507728.2479","15546439387.7144","15725822148.3573","16404352155.614","16936223118.3282","17485651294.9104","18154914459.2941","18679109173.5705","18115916259.2635","19454981859.0855","20213105098.4639",
"Belarus","BLR","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29452719419.1169","29099288090.7074","26305756027.7801","24306518085.0613","21462654521.7496","19230538345.9988","19768994314.0106","22022660734.392","23872562346.6071","24684229266.6333","26115915413.2539","27349972329.6317","28729851589.3736","30753350358.6553","34274529971.0238","37496336310.4988","41245967996.4164","44793123940.047","49362022330.8859","49460744060.4761","53317824854.8036","56185634672.3453","57133562481.2704","57706881121.1122","58703023049.7779","56454895054.6555","55028939583.4636","56422065249.0125","58199156902.2997","59040836991.9021","58643548764.1926","60073786383.9467","57251850481.4979",
"Belize","BLZ","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","142441397.57315","149410025.617084","156720138.493001","164487869.027588","172712064.946166","181227704.053475","189873797.115639","199202530.62043","213878230.167578","224799654.196277","235607332.252983","244936065.757774","269964377.16832","284412584.771482","322978889.093242","334582953.564568","334469125.287241","356198227.372645","384412002.13634","413308335.037329","468843260.720262","474158868.817088","473648150.267044","463497017.977184","472637480.564784","477423000.818642","499095412.44659","552674822.885241","606769039.7659","685704965.897027","764172850.678733","851692647.058824","954215837.104073","1013729298.64253","1015729751.13122","1022231221.71946","1032733597.28507","1069741968.32579","1111751470.58824","1211273981.90045","1368809615.38462","1437825226.24434","1511341855.20362","1652373755.65611","1728891063.34842","1766899660.63348","1847917986.42534","1908431674.20814","1879425113.12217","1870923190.04525","1894428506.78733","1892428054.29864","1965444570.13575","2054464705.88235","2138483710.40724","2210500000","2213000565.61086","2175492081.44796","2199497511.31222","2298519909.50226","1990450226.24434","2293418755.65611","2571581674.20815",
"Bermuda","BMU","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","1684353374.03431","1763181111.92075","1841995307.60412","1861704657.40225","2068540044.85568","2167002550.99883","2478262917.43354","2807253304.72231","2866353374.30658","2964853490.1743","3152003710.52447","3260353838.09562","3319453907.67989","3368703965.66677","3398254000.45891","3526304151.11876","3841504522.23484","4068054788.86847","4127154858.45273","4215804962.82913","4550705357.03391","4659055484.60506","4412805194.77668","4501455299.15308","4523125324.58246","4432505217.97143","4728005565.7867","4905305774.5395","5104276008.72168","5126931035.37444","5127916036.59781","4946675890.08297","4943720834.23487","5092455993.93519","5122991040.76808","5348359015.58225","5487441777.63634","5739864145.64664","5963718852.73555","6165450410.7722","6739895068.97791","7226679645.63174","7119884453.30351","7362722827.73814","7533631299.4758","7659759815.30576","8084406664.52899","8354841362.08309","8198943712.90485","7737613934.72433","7543950875.42882","7261600082.73073","6876350478.40565","6857116738.50431","6603330213.03728","6654541000","6610806937.02849","6849550930.14215","6819905984.64909","6840793088.0543","6373022721.95909","6565093928.38781","6757261642.88508",
"Bolivia","BOL","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","4727739746.57154","4826516220.94735","5095783596.36433","5442175895.64954","5657500838.41073","5935478858.29048","6361087691.7343","6762931564.89177","7339771963.56157","7668160505.07993","8069284227.95154","8477859236.6012","9153331417.37735","9678655892.40561","9963166545.29281","10691575418.0281","11184945381.0081","11740973137.016","11981979454.6341","11997956711.0459","11833371991.0655","11865986702.0009","11398616583.2799","10937870663.0725","10915922108.5205","10732928705.7646","10456675549.5767","10714274143.0459","11026005730.7249","11443905787.9669","11974420933.7407","12605057005.5101","12812599040.0935","13359606833.3496","13983135100.9362","14637304837.9041","15275687754.507","16032477212.7938","16838807367.9087","16910689781.9002","17334777888.1262","17626660726.9117","18064782966.6648","18554580623.7088","19328918118.4657","20183533307.223","21151739180.8768","22117185836.643","23477060537.7351","24265185360.0464","25266542246.0612","26581436461.7176","27943010890.6533","29842021104.1396","31471565408.6312","33000198248.9146","34407300587.1524","35850757840.6068","37364958928.4415","38193230080.2463","34855949803.3644","36984185851.9533","38119620567.218",
"Brazil","BRA","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","188463840496.582","204671730779.288","218180065010.721","219489145400.785","226951776344.412","232398618976.678","247969326448.115","258384038158.936","283705673898.512","310657712918.87","342966115062.433","381868493957.042","427464921481.797","487176307069.309","526900364433.503","554123457286.432","610960618082.94","641107419356.367","672969802176.552","718459600557.855","784557883809.176","751214173747.29","757449251389.389","735255988323.68","774959811693.158","835794156911.074","898395139263.712","930108487679.72","929550422587.113","958924215940.868","917211012547.438","926678369095.948","921636571098.365","967024315185.755","1023622994724.43","1066858717606.69","1090424176288.36","1127442397670.8","1131254256754.65","1136547820394.37","1186418964199.44","1202908958683.12","1239639324936.12","1253781489828.69","1325998860264.43","1368459094901.49","1422677289759.23","1509031960399.71","1585904997813.94","1583909738983.82","1703150040890.25","1770840429193","1804861390264.88","1859094274471.61","1868463286784.32","1802211999555.59","1743173031947.35","1766232928545.43","1797736638224.93","1819683008431.26","1760056385384.55","1847862953098.26","1901460783780.31",
